Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c163852847306114&slink=7lxxf5&f1=1,1,0,0,0,"град София, Манастирски ливади",2021,3-СТАЕН,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154659799053214&slink=7lxxgn&f1=1,12,0,1,2,"град София, Център",0,1-СТАЕН,Тухла,18000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163827267648630&slink=7lxxgn&f1=1,12,0,1,3,"град София, Толстой",1975,"АТЕЛИЕ, ТАВАН",Тухла,16200
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163214493989920&slink=7lxxgv&f1=1,16,0,0,0,"град София, Център",0,1-СТАЕН,Тухла,75000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164216682668385&slink=7lxxh0&f1=1,20,0,1,4,"град София, Люлин 8",2005,1-СТАЕН,Тухла,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163428917182491&slink=7lxxh5&f1=1,22,0,0,0,"град София, Бояна",0,1-СТАЕН,Тухла,42000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163878891100983&slink=7lxxh5&f1=1,22,0,2,6,"град София, Оборище",2001,1-СТАЕН,Тухла,50000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163982153796499&slink=7lxxh5&f1=1,22,0,1,8,"град София, Гоце Делчев",2006,"АТЕЛИЕ, ТАВАН",Тухла,39900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163929777866807&slink=7lxxh5&f1=1,22,0,5,5,"град София, Оборище",1974,"АТЕЛИЕ, ТАВАН",Тухла,23999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163775009635181&slink=7lxxh5&f1=1,22,0,2,5,"град София, Оборище",1990,"АТЕЛИЕ, ТАВАН",Тухла,50000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164086364690472&slink=7lxxhg&f1=1,23,0,5,7,"град София, Център",0,1-СТАЕН,Тухла,66800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164252372582522&slink=7lxxhg&f1=1,23,0,2,6,"град София, Красно село",1998,1-СТАЕН,Тухла,55789
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162972255989811&slink=7lxxhg&f1=1,23,0,2,6,"град София, Красно село",1998,1-СТАЕН,Тухла,55790
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164303262731632&slink=7lxxhg&f1=1,23,0,8,12,"град София, Люлин 7",1990,1-СТАЕН,ЕПК,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164206940205454&slink=7lxxhg&f1=1,23,0,1,7,"град София, Център",2000,1-СТАЕН,Тухла,57500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164199912630878&slink=7lxxhp&f1=1,24,0,1,4,"град София, Драгалевци",2023,1-СТАЕН,Тухла,39990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163897864942425&slink=7lxxhp&f1=1,24,0,6,8,"град София, Дървеница",1980,1-СТАЕН,Панел,53900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164131378335122&slink=7lxxhp&f1=1,24,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,53900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163947189044779&slink=7lxxhp&f1=1,24,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,54900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163887908469467&slink=7lxxhp&f1=1,24,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,56000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164025125231979&slink=7lxxhp&f1=1,24,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,56500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163940720312149&slink=7lxxhp&f1=1,24,0,5,5,"град София, Оборище",1974,1-СТАЕН,Тухла,24000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162461312775716&slink=7lxxhp&f1=1,24,0,1,7,"град София, Полигона",2008,1-СТАЕН,Тухла,49500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163655416697964&slink=7lxxhy&f1=1,25,0,1,6,"град София, Лозенец",0,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163879965814792&slink=7lxxhy&f1=1,25,0,6,8,"град София, Дървеница",1980,1-СТАЕН,Панел,53000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163898035044463&slink=7lxxhy&f1=1,25,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,53900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157864766691650&slink=7lxxi1&f1=1,26,0,1,6,"град София, Сухата река",0,1-СТАЕН,Панел,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163351707066328&slink=7lxxi1&f1=1,26,0,5,5,"град София, Център",2010,1-СТАЕН,Тухла,67500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h163655776094562&slink=7lxxi1&f1=1,26,0,1,6,"град София, Лозенец",0,"АТЕЛИЕ, ТАВАН",Тухла,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h162551994222178&slink=7lxxi1&f1=1,26,0,6,6,"град София, Център",1934,"АТЕЛИЕ, ТАВАН",Тухла,40000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163879298844557&slink=7lxxi9&f1=1,27,0,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,54900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163275063128958&slink=7lxxi9&f1=1,27,0,1,7,"град София, Център",2008,1-СТАЕН,Тухла,57000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162641898905934&slink=7lxxi9&f1=1,27,0,6,6,"град София, Център",1950,1-СТАЕН,Тухла,75000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163998775599916&slink=7lxxi9&f1=1,27,0,4,4,"град София, Ботунец",0,2-СТАЕН,Тухла,19999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164302753434739&slink=7lxxif&f1=1,28,0,8,12,"град София, Люлин 7",0,1-СТАЕН,ЕПК,44999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163958293954798&slink=7lxxif&f1=1,28,0,2,13,"град София, Младост 4",2024,1-СТАЕН,Тухла,41042
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163825822047213&slink=7lxxii&f1=1,29,0,13,14,"град София, Люлин 10",1990,1-СТАЕН,ЕПК,56000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163903423296373&slink=7lxxij&f1=1,30,0,8,8,"град София, Гео Милев",1990,1-СТАЕН,Тухла,120000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164152691794551&slink=7lxxij&f1=1,30,0,0,0,"град София, Център",0,1-СТАЕН,Тухла,106000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164149294020711&slink=7lxxij&f1=1,30,0,5,6,"град София, Манастирски ливади",2021,1-СТАЕН,Тухла,50300
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164242426652320&slink=7lxxij&f1=1,30,0,1,8,"град София, Овча купел",1984,1-СТАЕН,Тухла,43000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163308614418058&slink=7lxxij&f1=1,30,0,0,0,"град София, Студентски град",2023,1-СТАЕН,Тухла,37500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a161701106988079&slink=7lxxij&f1=1,30,0,1,14,"град София, Банишора",0,1-СТАЕН,ЕПК,29900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164025356844600&slink=7lxxij&f1=1,30,0,1,5,"град София, Витоша",2000,1-СТАЕН,Тухла,33000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160344996862590&slink=7lxxij&f1=1,30,0,1,8,"град София, Люлин 3",2017,1-СТАЕН,Панел,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164250927990441&slink=7lxxij&f1=1,30,0,1,6,"град София, Люлин 6",2000,1-СТАЕН,Тухла,36300
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a130892326438323&slink=7lxxij&f1=1,30,0,8,12,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,44900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164301885235073&slink=7lxxij&f1=1,30,0,1,8,"град София, Слатина",1985,1-СТАЕН,Панел,63000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163221489678323&slink=7lxxij&f1=1,30,0,1,5,"град София, Сухата река",0,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163785179626503&slink=7lxxij&f1=1,30,0,1,4,"град София, Център",1941,1-СТАЕН,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164303645866348&slink=7lxxij&f1=1,30,0,1,8,"град София, Център",0,1-СТАЕН,Тухла,106000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164311867252977&slink=7lxxij&f1=1,30,0,4,5,"град София, Докторски паметник",1932,2-СТАЕН,Тухла,129000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h162905274699135&slink=7lxxij&f1=1,30,0,1,5,"град София, Младост 2",2009,"АТЕЛИЕ, ТАВАН",Тухла,49900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164327869144851&slink=7lxxj8&f1=1,31,0,1,6,"град София, Студентски град",0,1-СТАЕН,Тухла,42400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163094263410494&slink=7lxxj8&f1=1,31,0,0,0,"град София, Зона Б-18",2021,1-СТАЕН,Тухла,33700
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162815112042867&slink=7lxxj8&f1=1,31,0,1,8,"град София, Люлин 10",2022,1-СТАЕН,Тухла,34990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162210957859874&slink=7lxxj8&f1=1,31,0,12,14,"град София, Люлин 4",1984,1-СТАЕН,ЕПК,58000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164319293643816&slink=7lxxj8&f1=1,31,0,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,37536
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162633403400102&slink=7lxxj8&f1=1,31,0,2,5,"град София, Студентски град",0,1-СТАЕН,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163430731793733&slink=7lxxj8&f1=1,31,0,0,0,"град София, Център",2022,1-СТАЕН,Тухла,33700
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164199285815885&slink=7lxxji&f1=1,32,0,3,6,"град София, Малинова долина",2022,1-СТАЕН,Тухла,37540
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164259301494288&slink=7lxxji&f1=1,32,0,4,6,"град София, Малинова долина",0,1-СТАЕН,Тухла,38400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164206248042302&slink=7lxxji&f1=1,32,0,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,38400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153375172457080&slink=7lxxji&f1=1,32,0,1,5,"град София, Бъкстон",2021,1-СТАЕН,Тухла,45900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164132832072057&slink=7lxxji&f1=1,32,0,0,0,"град София, Витоша",0,1-СТАЕН,Тухла,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163672928050456&slink=7lxxji&f1=1,32,0,1,14,"град София, Люлин 5",1986,1-СТАЕН,ЕПК,44500
